Title,Description,Price sale,Price origin,Loại CPU,Loại card đồ họa,Dung lượng RAM,Loại RAM,Ổ cứng,Kích thước màn hình,Độ phân giải màn hình,Công nghệ màn hình,Màn hình cảm ứng,Chất liệu tấm nền,Độ phân giải ,Cổng giao tiếp,Pin,Hệ điều hành,Đèn bàn phím,Webcam,Wi-Fi,Bluetooth,Khe đọc thẻ nhớ,Kích thước,Trọng lượng,Chất liệu,Công nghệ âm thanh,Tính năng đặc biệt,url,Số khe ram,Bảo mật,Cổng kết nối,Độ sáng,Số lượng màu,Tiện ích,Hệ thống âm thanh,ARM chuẩn VESA,Loại đèn bàn phím,Hãng sản xuất,Socket
Laptop Gaming Acer Nitro 5 AN515 45 R6EV,R5-5600H/8GB/512GB PCIE/VGA 4GB GTX1650/15.6FHD 144Hz/WIN11/ĐEN,18.690.000 ₫,23.990.000 ₫,"AMD Ryzen 5 5600H, 6 lõi, 12 luồng, 3.30 GHz (tối đa 4.20 GHz)",GeForce GTX 1650 4GB,8GB,"8 GB DDR4 3200 MHz, tối đa 32 GB",512 GB SSD M2. PCIe,15.6 inches,1920 x 1080 pixels (FullHD),"IPS LCD LED Backlit, True Tone",Không,Tấm nền IPS,Full HD,1x Type-C  3x USB 3.0  1x HDMI  1x DC-in jack  1x Jack 3.5 mm  1x LAN,"4 Cell, 57.5 W",Windows 11 Home 	64 bit,Có,HD Web Camera,802.11 ax Wi-Fi 6,v5.0,Có,363.4 x 255 x  23.9 mm (WxDxH),2.2 kg,Vỏ nhựa,Acer TrueHarmony,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-45-r6ev.html?itm=featured-cate
Laptop Lenovo Ideapad 5 PRO 14ACN6 82L700M9VN,R5-5600U/16GB/512GB PCIE/14.0 2K/WIN11/XÁM,18.290.000 ₫,21.990.000 ₫,Ryzen 5 AMD Ryzen 5 5600U,AMD Radeon Graphics,16GB,DDR4-3200hz,512GB SSD M.2 2242 PCIe 3.0x4 NVMe,14 inches,2880 x 1800 pixels,"Tần số quét 90Hz,màn hình chống loá, Độ phủ màu 100% sRGB",Không,Tấm nền IPS,2K (Quad HD),"1x USB 3.2 Gen 1  1x USB 3.2 Gen 1   1x USB-C 3.2 Gen 1   1x USB-C 3.2 Gen 1   1x HDMI 1.4b  1x Khe đọc thẻ nhớ  1x Jack tai nghe, micro (3.5mm)",56.5Wh,Windows 11 Home SL ,Có,HD 720p ,"Wi-Fi 6 11ax, 2x2",v5.1,Có,312.2 x 221 x 15.99-17.99 mm,1.38 kg,Vỏ kim loại,"2W x2, Dolby Atmos","Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14acn6-82l700m9vn.html?itm=featured-cate,Không hỗ trợ nâng cấp
Laptop Asus Gaming TUF FX506LH HN188W,I5-10300H/8GB/512GB PCIE/VGA 4GB GTX1650/15.6 FHD 144Hz/WIN11/ĐEN,16.390.000 ₫,21.990.000 ₫,"Intel® Core™ i5-10300H (2.50GHz upto 4.50GHz, 8MB)",NVIDIA® GeForce® GTX 1650 4GB GDDR6,8GB,"8GB DDR4 2933MHz (2 khe, tối đa 32GB)",512GB M.2 NVMe™ PCIe® 3.0 SSD,15.6 inches,1920 x 1080 pixels (FullHD),"Value IPS-level, 144Hz, 45% NTSC, 62.5% SRGB, anti-glare display",,Tấm nền IPS,Full HD,1x USB 2.0 Type-A  1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC  2x USB 3.2 Gen 1 Type-A  1x HDMI 2.0b  1x 3.5mm Combo Audio Jack,"3-cell, 48WHrs",Windows 11 Home,Có,720P HD camera,Wi-Fi 6(802.11ax),5.2 (Dual band) 2*2,,35.9 x 25.6 x 2.47 ~ 2.49 cm (Dài x Rộng x Cao),2.30 kg,,,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-asus-gaming-tuf-fx506lh-hn188w.html?itm=featured-cate,
Laptop Lenovo ThinkPad E14,I3-1011U/8GB/1TB HDD/14.0 FHD/FREE OS/ĐEN 20RAS25R00 Nhập khẩu chính hãng,13.490.000 ₫,15.990.000 ₫,"Intel Core i3-10110U (2C / 4T, 2.1 / 4.1GHz, 4MB)",Intel UHD Graphics,8GB,"1x 8GB SO-DIMM DDR4-2666, 1 khe hỗ trợ tối đa 16GB","1TB HDD, trống 1 khe SSD",14 inches,1080 x 1920 pixels (FullHD),"250nits,màn hình chống chói",Không,Tấm nền IPS,Full HD,1x USB 3.1 Gen 1  1x HDMI 1.4b   1x Headphone / microphone combo jack (3.5mm)  1x USB 3.1 Gen 1  1x USB 2.0  1x Ethernet (RJ-45)   1x USB-C 3.1 Gen 1,3 Cell 65W,Free OS,,720p Camera,"Intel AX201 11ax, 2x2 ",v5.2,,325 x 232 x 17.9 mm ,1.73 kg ,,"High Definition (HD) Audio, Synaptic CX11880 codec","Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-lenovo-thinkpad-e14-20ras25r00.html?itm=featured-cate,
Laptop Dell Inspiron 3511 5G8TF,I3-1115G4/4GB/128GB SSD/15.6 FHD/WIN10/ĐEN NHẬP KHẨU CHÍNH HÃNG,9.990.000 ₫,15.990.000 ₫,i3-1115G4,,4GB,,128GB SSD,15.6 inches,,,Không,,Full HD,,,Windows 10 Home,,Có,,,,21 x 20 x 1.47cm,2kh,,,,https://cellphones.com.vn/laptop-dell-inspiron-3501-5g8tf.html?itm=featured-cate,
Laptop HP 15-DW3033DX 405F6UA,I3-1115G4/8GB/256GB PCIE/15.6 FHD/WIN10/BẠC Nhập khẩu chính hãng,11.490.000 ₫,15.990.000 ₫,"Intel® Core™ i3-1115G4 (up to 4.1 GHz with Intel® Turbo Boost Technology, 6 MB L3 cache, 2 nhân)",Intel® UHD Graphics,8GB,8 GB DDR4-2666 MHz RAM (1 x 8 GB),256 GB PCIe® NVMe™ M.2 SSD,15.6 inches,1080 x 1920 pixels (FullHD),,Không,Tấm nền IPS,Full HD,1 SuperSpeed USB Type-C® 5Gbps  2 SuperSpeed USB Type-A 5Gbps 1 HDMI 1.4b  1 RJ-45  1 AC smart pin  1 headphone/microphone combo,"3-cell, 41 Wh Li-ion",Windows 10,,HP True Vision 720p,802.11a/b/g/n/ac (1x1),v4.2,,35.85 x 24.2 x 1.99 cm,1.75 kg,,2 loa,Ổ cứng SSD,https://cellphones.com.vn/laptop-hp-15-dw3033dx-405f6ua.html?itm=featured-cate,
Laptop Lenovo Ideapad 3 15ITL6,I3-1115G4/8GB/256GB PCIE/15.6FHD/WIN11/VÀNG 82H800M4VN,10.690.000 ₫,14.990.000 ₫,Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,Intel UHD Graphics,8GB,"DDR4 3200MHz, 1 khe cắm tối đa 12GB","256GB SSD M.2 2242 PCIe 3.0x2 NVMe (Còn trống 1 khe 2.5"" SATA)",15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống loá, 220nits",Không,Tấm nền TN,Full HD,1x USB-C 3.2 Gen 1 (support data transfer only)  1x USB 3.2 Gen 1  1x USB 2.0  1x HDMI 1.4b  1x headphone / microphone combo jack (3.5mm)  1x power connector,2 Cells 38WHrs,Windows 11,Không,HD 720p ,802.11AC (2x2),v5.0,Có,359.2 x 236.5 x 19.9 (mm),1.65 kg,Vỏ nhựa,Dolby Audio,Ổ cứng SSD,https://cellphones.com.vn/laptop-lenovo-ideapad-3-15itl6-82h800m4vn.html?itm=featured-cate,
Laptop HP Envy X360 13-BD0063DX,I5-1135G7/8GB/256GB PCIE/13.3 FHD/CẢM ỨNG/WIN10/VÀNG Nhập khẩu chính hãng,20.790.000 ₫,24.990.000 ₫,"Intel® Core™ i5-1135G7 (2.40GHz up to 4.20GHz, 8MB)",Intel Iris Xe Graphics,8GB,DDR4 3200Mhz,256GB PCIe® NVMe™ M.2 SSD,13.3 inches,1920 x 1080 pixels (FullHD),"Corning® Gorilla® Glass NBT™, 1000 nits, 72% NTSC",Có,Tấm nền IPS,Full HD,"1 x Thunderbolt™ 4 with USB4™ Type-C® 40Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)    1 x SuperSpeed USB Type-C® 5Gbps signaling rate    1 x SuperSpeed USB Type-A 5Gbps signaling rate (HP Sleep and Charge)
","3Cell, 51WHr",Windows 10 Home SL ,Có,HD 720p ,Intel® Wi-Fi 6 AX201 (2x2),v5.0,Có,30.65 x 19.46 x 1.64 cm,1.32 kg,,,"Ổ cứng SSD, Wi-Fi 6, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng",https://cellphones.com.vn/laptop-hp-envy-x360-13-bd0063dx.html?itm=featured-cate,
Laptop HP 14-CF2033WM 3V7G4UA,PENT N5030/4GB/128GB SSD/14.0 HD/WIN10/BẠC NHẬP KHẨU CHÍNH HÃNG,6.490.000 ₫,11.990.000 ₫,"Intel® Pentium® Silver N5030 (1.1 GHz base frequency, up to 3.1 GHz)",Intel® UHD Graphics 605,4GB,4 GB DDR4-2400 MHz RAM (1 x 4 GB),128 GB SATA M.2 SSD,14 inches,1366 x 768 pixels (HD+),"220 nits, 45% NTSC",Không,,HD,1x SuperSpeed USB Type-C® 5Gbps  2x SuperSpeed USB Type-A 5Gbps 1x HDMI 1.4 1x RJ-45  1x AC smart pin  1x headphone/microphone combo,"3-cell, 41 Wh Li-ion",,,HP True Vision 720p HD camera,802.11a/b/g/n/ac (1x1),4.2,,32.4 x 22.59 x 1.99 cm,1.47 kg,,2 Loa,Ổ cứng SSD,https://cellphones.com.vn/laptop-hp-14-cf2033wm-3v7g4ua-pent.html?itm=featured-cate,
Laptop ASUS VivoBook A515EA-BQ1530W,I3-1115G4/4GB/512GB PCIE/15.6 FHD/WIN11/BẠC,11.990.000 ₫,15.390.000 ₫,Intel Core i3-1115G4 1.7GHz up to 4.1GHz 6MB,Intel UHD Graphics,4GB,"DDR4 2666MHz (1 khe, tối đa 16GB SDRAM)","512GB SSD M.2 PCIE G3X4 (Còn trống 1 khe 2.5"" SATA)",15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống chói, 45% NTSC, NanoEdge",Không,Tấm nền IPS,Full HD,1x Type-A USB 3.2 Gen 1  1x Type-C USB 3.2  2x USB 2.0 port(s)  1x HDMI 1.4  FingerPrint,3 Cells 42Wh,Windows 11 Home,,HD Web Camera,802.11 AX (2x2),v5.0,Có,359 x 235 x 17.9 mm,1.7 kg,,,"Ổ cứng SSD, Wi-Fi 6, Bảo mật vân tay",https://cellphones.com.vn/laptop-asus-vivobook-a515ea-bq1530w.html?itm=featured-cate,
Laptop ASUS ZenBook Flip UX363EA,I5-1135G7/8GB/512GB PCIE/13.3FHD/WIN10/BÚT/XÁM HP532T,22.490.000 ₫,27.990.000 ₫,"Intel Core i5 Tiger Lake - 1135G7, 4 nhân 8 luồng, 8 MB",Intel Iris Xe Graphics,8GB,8 GB LPDDR4X 4267 MHz (Không hỗ trợ nâng cấp),SSD 512 GB NVMe PCIe,13.3 inches,1080 x 1920 pixels (FullHD),"100% DCI-P3, 550 nits, OLED, 60 Hz",Có,Tấm nền OLED/AMOLED,Full HD,1x USB 3.2  2x Thunderbolt 41x USB-C  1x HDMI  1x Jack tai nghe 3.5 mm," 4-cell Li-ion, 67 Wh",Windows 10 Home SL,Có,Camera IRHD webcam,Wi-Fi 6 (802.11ax),v5.0,,305 x 211 x 11.9 mm,1.3 kg,,Audio by Harman/KardonSonicMaster audio,"Ổ cứng SSD, Wi-Fi 6, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng, Viền màn hình siêu mỏng",https://cellphones.com.vn/laptop-asus-zenbook-flip-ux363ea-hp532t.html?itm=featured-cate,
Laptop Asus Vivobook 13 Slate Oled T3300KA,N6000/8GB/256GB PCIE/13.3 FHD OLED/WIN11/ĐEN/CẢM ỨNG/TÚI/BÚT/BÀN PHÍM,15.790.000 ₫,17.790.000 ₫,"Intel Pentium Silver N6000 1.1 GHz (4M Cache, up to 3.3 GHz, 4 cores)",Intel® UHD,8GB,"8GB LPDDR4X on board, tối đa lên đến 8GB",256GB M.2 NVMe ™ PCIe® 3.0 SSD,13.3 inches,,100% DCI-P3  550 nits  1.07 triệu màu  VESA DisplayHDR™ True Black 500,Có,Tấm nền OLED/AMOLED,,2x USB-C  1x audio jack,"3-cell Li-ion, 50 Wh",Windows 11 Home,,Camera sau 13 MP  Camera trước 5 MP,6 (802.11ax),5.2 (Dual band) 2*2,Có,30.99 x 19.00 x 0.79 ~ 0.79 cm (W x D x H),0.78 kg,,Công nghệ khuếch đại thông minh  Tích hợp loa âm thanh nổi 4 chiều  Cortana,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Bảo mật vân tay",https://cellphones.com.vn/laptop-asus-vivobook-13-slate-oled-t3300.html,
Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,,22.590.000 ₫,28.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"GPU 7 nhân, 16 nhân Neural Engine",8GB,LPDDR4,256GB SSD,13.3 inches,2560 x 1600 pixels (2K),Độ sáng 400 nits Hỗ trợ dải màu P3 True-Tone,Không,Tấm nền IPS,Retina,2 cổng Thunderbolt / USB 4,"49.9-watt-hour lithium-polymer, củ sạc công suất 30W",macOS Big Sur,Có,,802.11ax Wi-Fi 6 wireless networking,Bluetooth 5.0,Không,1.61 cm x 30.41 cm x 21.24 cm,1.29 kg,Vỏ kim loại,"3 microphones, headphones, loa kép (2 kênh)","Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",https://cellphones.com.vn/macbook-air-2020-m1.html,
Laptop Asus Gaming Rog Strix G15 G513IH HN015W,R7-4800H/8GB/512GB PCIE/15.6 IPS 144Hz/VGA 4GB GTX1650/WIN11/XÁM,18.490.000 ₫,23.990.000 ₫,AMD Ryzen 7 4800H,Geforce GTX 1650 4GB,8GB,"DDR4 8GB (1 x 8GB) 3200MHz, up to 32GB",512GB SSD NVMe M.2 PCIe Gen 3 x 4,15.6 inches,1920 x 1080 pixels (FullHD),"IPS Panel, 144Hz",,Tấm nền IPS,Full HD,1x Type C USB 3.2 Gen 1 (Power Delivery/Display Port)  3x USB 3.2 Gen 1 Type-A  1x 3.5mm Combo Audio Jack  1x HDMI 2.0b,,Windows 11 SL 64 Bit,Có,,6(Gig+)(802.11ax),,,35.4 x 25.9 x 2.26 ~ 2.72 cm (W x D x H),2.1 kg,,,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-asus-gaming-rog-strix-g15-g513ih-hn015w.html,2 khe
Laptop Asus TUF Gaming FA506IHR HN019W,R5-4600H/8GB/512GB PCIE/VGA 4GB GTX1650/15.6 FHD 144Hz/WIN11/ĐEN,15.990.000 ₫,20.990.000 ₫,AMD Ryzen R5-4600H,NVIDIA GeForce GTX 1650 4GB GDDR6,8GB,DDR4 3200MHz,SSD 512GB M.2 NVMe™ PCIe® 3.0,15.6 inches,1920 x 1080 pixels (FullHD),"Màn hình chống loá, tần số quét 144Hz",Không,Tấm nền IPS,Full HD,3x USB 3.2 Gen 1 Type-A  1x USB 3.2 Gen 2 Type-C   1 x HDMI 2.0b  1 x MicroSD  1 x 3.5mm combo audio jack," 3-cell Li-ion, 48WHrs, 3S1P",Windows 11 Home SL ,Có,HD 720p ,Wi-Fi 6(802.11ax) (Dual band) 2*2,v5.1,Có,35.9 x 25.6 x 2.28 ~ 2.45 cm,2.30 kg,Vỏ nhựa,,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506ihr-hn019w.html,2 khe cắm tối đa 32GB
Laptop Dell Insprion 14 5406-3661SLV Nhập khẩu chính hãng,I3-1115G4/8GB/256GB PCIE/14.0 HD/CẢM ỨNG/WIN10/BẠC,13.290.000 ₫,15.990.000 ₫,Intel Core i3 Gen 11,Intel UHD Graphics,8GB,8GB DDR4,256GB SSD,14 inches,1366 x 768 pixels,,Có,,HD,,3-cell,Windows 10 Home in S mode,Có,Có,,,,,,,,"Ổ cứng SSD, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng",https://cellphones.com.vn/laptop-dell-insprion-14-5406-3661slv.html,
Laptop Gaming MSI Bravo 15 B5DD 276VN,R5-5600H/8GB/512GB PCIE/VGA 4GB RX5500M/15.6 IPS/WIN11/ĐEN,15.190.000 ₫,22.490.000 ₫,AMD Ryzen 5 5600H,Radeon RX5500M 4GB,8GB,"DDR4 8GB (1 x 8GB) 3200MHz, lên đến 32GB, 2 khe cắm",512GB SSD NVMe M.2 PCIe Gen 3 x 4,15.6 inches,1920 x 1080 pixels (FullHD),Tấm nền IPS,Không,Tấm nền IPS,Full HD,1x HDMI (4K @ 30Hz)  1x RJ45  1x Type-C USB3.2 Gen1  3x Type-A USB3.2 Gen1,3 Cell,Windows 11 Home 64bit,Có,Có,AMD Wi-Fi 6E RZ608,Có,Không,359 x 254 x 21.7 mm,2.35 kg,,,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-msi-gaming-bravo-15-b5dd-276vn.html,
Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,,29.990.000 ₫,35.990.000 ₫,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,"8 nhân GPU, 16 nhân Neural Engine",8GB,,256GB SSD,13.3 inches,2560 x 1600 pixel (2K),Độ sáng 500 nits Hỗ trợ dải màu P3 True-Tone,Không,Tấm nền IPS,Retina,2 cổng Thunderbolt / USB 4 ports,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",macOS Big Sur,Có,HD webcam,802.11ax Wi-Fi 6,Bluetooth 5.0,Không,1.56 cm x 30.41 cm x 21.24 cm,1.4 kg,,"2 loa, Dolby Atmos","Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,
Apple iMac 27 5K 2020 i5 3.1 8GB 256GB Radeon 5300 Chính Hãng (MXWT2),,31.990.000 ₫,49.990.000 ₫,3.1GHz 6-core 10th-generation Intel Core i5 processor Turbo Boost up to 4.5GHz,Radeon Pro 5300 with 4GB of GDDR6 memory,8GB,"2666MHz DDR4, 4 khe cắm hỗ trợ tối đa 128GB",256GB SSD,27 inches,5120 x 2880 pixels,Wide color (P3) True Tone,,Tấm nền IPS,Retina,"SDXC card slot (UHS-II) jack 3.5mm 4 x USB-A ports 2 x Thunderbolt 3 (USB-C) hỗ trợ: DisplayPort; Thunderbolt (up to 40 Gbps); USB 3.1 Gen 2 (up to 10 Gbps); Thunderbolt 2, HDMI, DVI, and VGA supported using adapters Gigabit Ethernet",,MacOS,,,802.11ac ,v5.0,Có,,8.92 kg,,,Ổ cứng SSD,https://cellphones.com.vn/imac-27-inch-2020-5k.html,
Laptop ASUS VivoBook D515DA-EJ845T,R3-3250U/4GB/512GB PCIE/15.6 FHD/WIN10/BẠC,9.990.000 ₫,12.490.000 ₫,"AMD Ryzen 3-3250U, 2.6GHz upto 3.5GHz, 2 cores 4 threads, 4MB Cache",AMD Radeon™ Graphics,4GB,"DDR4, 1 khe cắm ",512GB SSD M.2 NVMe,15.6 inches,1920 x 1080 pixels (FullHD),Màn hình chống lóa,Không,,Full HD,1x USB 3.2 Gen 1 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 2.0 Type-A  1x HDMI 1.4 ,"2-cell, 37WHrs",Windows 10 Home SL ,,,Wi-Fi 5(802.11ac),v5.2,Có,36.00 x 23.50 x 1.99 ~ 1.99 cm ,1.80 kg,Vỏ nhựa,,Ổ cứng SSD,https://cellphones.com.vn/laptop-asus-vivobook-d515da-ej845t.html,
Macbook Pro 14 inch 2021 | Chính hãng Apple Việt Nam,,48.590.000 ₫,52.990.000 ₫,M1 Pro/M1 Max,14 nhân GPU,16GB,,512GB SSD,14.2 inches,3024 x 1964 pixels ,"120Hz, Liquid Retina, Mini LED, XDR",Không,,Retina,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,MacOS,,"1080p Camera, FaceTime",802.11ax Wi-Fi 6 ,v5.0,,1.6 kg,1.55 x 31.26 x 22.12 cm,,6 loa,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay, Nhận diện khuôn mặt",https://cellphones.com.vn/macbook-pro-14-inch-2021.html,
Laptop MSI Modern 14 B11MOU 1030VN,I3-1115G4/8GB/256GB PCIE/14.0 FHD/WIN11/XÁM 1030VN,11.790.000 ₫,14.990.000 ₫,Intel Core i3-1115G4,Intel UHD Graphics,8GB,"DDR4 3200MHz, 2 khe tối đa 64GB",256GB NVMe PCIe SSD,14 inches,1920 x 1080 pixels (FullHD),,Không,Tấm nền IPS,Full HD,1x Type-C USB3.2 Gen2  2x Type-A USB3.2 Gen1  1x (4K @ 60Hz) HDMI  1x Mic-in/Headphone-out Combo Jack  1x SD,"3 cell , 39Whr",Windows 11 Home SL ,,HD 720p ,Intel Wi-Fi 6 AX201(2*2 ax),v5.1,Có,319 x 219 x 16.9 mm,1.3 kg,,2 Loa,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-msi-modern-14-b11mou-1030vn.html,
Laptop Asus Vivobook A415EA EB1474W,I5-1135G7/8GB/512GB PCIE/14.0 FHD/WIN11/ĐEN,15.190.000 ₫,18.790.000 ₫,Intel® Core™ i5-1135G7,Intel Iris Xᵉ Graphics,8GB,DDR4 ,512GB M.2 NVMe™ PCIe® 3.0 SSD,14 inches,1920 x 1080 pixels (FullHD),Màn hình chống loá,Không,Tấm nền IPS,Full HD,1x USB 2.0 Type-A  1x USB 3.2 Gen 1 Type-C  2x USB 2.0 Type-A//1x HDMI 1.4  1x 3.5mm Combo Audio Jack//Micro SD card reader,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home SL ,Không,HD 720p ,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,v5.0,Có,32.40 x 21.50 x 1.79 ~ 1.79 cm,1.40 kg,Vỏ nhựa,2 Loa,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-asus-vivobook-a415ea-eb1474w.html,
Laptop Huawei Matebook 14,I5-1135G7/8GB/512GB PCIE/14.0 2K/WIN10/XÁM,19.990.000 ₫,21.990.000 ₫,Intel Core i5-1135G7 thế hệ 11,Intel Iris Xe,8GB,,Ổ cứng SSD NVMe PCIe 512 GB,14 inches,2160 x 1440 pixels,"IPS, sRGB 100%",Không,Tấm nền IPS,2K (Quad HD),"USB-C x 1 (hỗ trợ dữ liệu, sạc và DisplayPort)   USB 3.2 Gen1 × 2   HDMI × 1   Tai nghe 3,5 mm và jack micrô x 1",56 Wh,Windows 10 Home SL,Có,HD 720p ,IEEE 802.11a/b/g/n/ac/ax,v5.1,,"307,5 x 223,8 x 15,9 mm","1,49 kg",Vỏ kim loại,Loa x 2,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-huawei-matebook-14.html,
Laptop ASUS ZenBook Flip UX363EA,I5-1135G7/8GB/512GB PCIE/13.3FHD/WIN11/BÚT/XÁM HP726W,22.490.000 ₫,27.990.000 ₫,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,Intel Iris Xe Graphics,8GB,LPDDR4X không hỗ trợ nâng cấp,512GB SSD PCIE G3x4,13.3 inches,1920 x 1080 pixels (FullHD),"100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 500, 1.07 billion colors, PANTONE Validated",Có,Tấm nền OLED/AMOLED,Full HD,2x Thunderbolt™ 4 supports display / power delivery  1x USB 3.2 Gen 1 Type-A  1x HDMI 1.4,4 Cell 67WHr,Windows 11,Có,HD 720p ,802.11 AX (2X2),v5.0,Có,30.5 x 21.1 x 1.19 ~ 1.39 (cm),1.3 kg,,Sonic Master,"Ổ cứng SSD, Wi-Fi 6, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng, Viền màn hình siêu mỏng",https://cellphones.com.vn/laptop-asus-zenbook-flip-ux363ea-hp726w.html,
Laptop Huawei Matebook D14,I5-10210U/8GB/512GB PCIE/14.0 FHD/WIN 10/XÁM BẠC,15.990.000 ₫,17.990.000 ₫,Intel Core i5-10210U,Intel UHD,8GB,DDR4,512GB SSD PCIe,14 inches,1920 x 1080 pixels (FullHD),Màn hình chống loá,Không,Tấm nền IPS,Full HD,"USB-A 3.0 x 1  USB-A 2.0 x 1  USB-C x 1  HDMI x 1  Tai nghe có mic 3,5 mm và jack micro tích hợp 2 trong 1 x 1 ",56 Wh,Windows 10 Home SL ,Có,HD 720p ,IEEE 802.11a/b/g/n/ac,v5.0,Không,322.5mm x 214.8mm x 15.9mm,1.38 kg,Vỏ kim loại,2 W / loa x 2,"Ổ cứng SSD, Wi-Fi 6",https://cellphones.com.vn/laptop-huawei-matebook-d14.html,
Laptop Huawei Matebook 14,R5-5500U/16GB/512GB PCIE/14.0 2K/WIN11/BẠC,20.990.000 ₫,21.990.000 ₫,AMD Ryzen 5 5500U ,AMD Radeon Graphics,16GB,,512 GB NVMe PCIe SSD,14 inches,2160 x 1440 pixels,100% sRGB,Không,Tấm nền IPS,2K (Quad HD),"USB-C x 1 (support data, charging and DisplayPort)   USB3.2 Gen1 x 2   HDMI x 1   1 x combo mic tai nghe 3.5mm",56 Wh,Windows 11,Có,HD 720p ,IEEE 802.11a/b/g/n/ac,v5.0,,307.5 x 223.8 x 15.9 mm,1.49 kg,Vỏ kim loại,Tích hợp Micro,"Ổ cứng SSD, Bảo mật vân tay",https://cellphones.com.vn/laptop-huawei-matebook-14-r5.html,,Cảm biến vân tay
Surface Pro 7 Core i5 / 8GB / 128GB Nhập Khẩu Chính Hãng,,19.990.000 ₫,23.990.000 ₫,10th Gen Intel® Core™ i5-1035G4,Intel® Iris® Plus Graphics,8GB,LPDDR4X 3733 MHz,128GB BGA PCIe SSD,12.3 inches,2736 x 1824 pixels,"PixelSense™ Display , Aspect ratio: 3:2",Có,Tấm nền IPS,,1 x Surface Connect 1 x Headset jack  1 x Cover port,"43.2 Wh, 60W power supply with USB-A (5W) (65W total) , Supports Fast Charge (0-80% in just over one hour)",Windows 10 Home,,"Camera trước: 5.0MP, 1080p Full HD video  Camera sau: 8.0MP, 1080p full HD",Wi-Fi 6: IEEE 802.11 a/b/g/n/ac/ax compatible,Bluetooth Wireless 5.0 technology,,292 mm x 201 mm x 8.5 mm,776 g,Vỏ kim loại,"Dolby Audio, 2 Loa","Ổ cứng SSD, Wi-Fi 6, Xoay gập 360 độ (2 in 1), Màn hình cảm ứng, Viền màn hình siêu mỏng, Nhận diện khuôn mặt",https://cellphones.com.vn/surface-laptop-pro-7-core-i5-ram-8gb-ssd-128gb-12-3inch.html,,
