Title,Price sale,Price origin,url,Loại card đồ họa,Dung lượng RAM,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Hệ điều hành,Cổng giao tiếp,Loại RAM,Số khe ram,Pin,Độ phân giải màn hình,Socket.690.000đKhi thu cũ lên đời,27.990.000đ,https://cellphones.com.vn/macbook-air-m3-13-inch-2024.html,GPU 8 Lõi,8GB,256GB SSD,13.6 inches,True Tone,MacOS,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4
Apple Macbook Air M2 2022 16GB 512GB I Chính hãng Apple Việt Nam,32.690.000đKhi thu cũ lên đời,45.990.000đ,https://cellphones.com.vn/macbook-air-m2-2022-16gb-512gb.html,,,,,,,,,,,
Laptop Dell Inspiron 15 3520-5810BLK 102F0,8.990.000đKhi thu cũ lên đời,12.990.000đ,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-5810blk-102f0.html,,,,,,,,,,,
Laptop Gaming Acer Nitro 5 Tiger AN515 58 52SP,17.990.000đKhi thu cũ lên đời,28.300.000đ,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-tiger-an515-58-52sp.html,,,,,,,,,,,
Laptop ASUS VivoBook Go 14 E1404FA-NK177W,9.290.000đKhi thu cũ lên đời,14.490.000đ,https://cellphones.com.vn/laptop-asus-vivobook-go-14-e1404fa-nk177w.html,AMD Radeon Graphics,16GB,SSD 512GB M.2 NVMe PCIe 3.0,14 inches,Tỉ lệ 16:9Độ sáng tối đa 250nits Độ phủ màu 45% NTSC Màn hình chống chóiCông nghệ LCD,Windows 11 Home,1 x USB 2.0 Type-A1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C1 x HDMI 1.41 x Jack cắm tai nghe 3.5 mm1 x Đầu vào DC,LPDDR5 onboard,,"42WHrs, 3S1P, Li-ion 3 cell",1920 x 1080 pixels (FullHD)
Laptop ASUS TUF Gaming A15 FA507NU-LP131W,19.990.000đKhi thu cũ lên đời,29.490.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp131w.html,,,,,,,,,,,
Macbook Pro 14 M3 8GB - 512GB | Chính hãng Apple Việt Nam,36.490.000đKhi thu cũ lên đời,39.990.000đ,https://cellphones.com.vn/macbook-pro-14-inch-m3-2023-8gb-512gb.html,10 nhânNeural Engine 16 nhân,8GB,512GB,14.2 inches,Độ sáng XDR: 1000 nit liên tục ở chế độ toàn màn hìnhĐộ sáng đỉnh 1600 nit (chỉ nội dung HDR)True ToneProMotion ,,Hai cổng Thunderbolt / USB 4 (USB-C)Ba cổng Thunderbolt 4 (USB-C)Cổng HDMI Cổng HDMIKhe thẻ nhớ SDXCJack 3.5mm,,,70Wh,3024 x 1964 pixels 
Laptop ASUS TUF GAMING F15 FX506HF-HN014W,13.290.000đKhi thu cũ lên đời,21.990.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-f15-fx506hf-hn014w.html,NVIDIA GeForce RTX 2050 4GB,8GB,512GB M.2 PCIE G3X2 1x khe M.2 SSD trống,15.6 inches,"Độ sáng tối đa 250nits Độ phủ màu 45% NTSC, 62.5% sRGB Màn hình chống lóa",Windows 11 Home,1x Cổng RJ45 LAN 3x USB 3.2 Gen 1 Type-A 1x Thunderbolt 4 support DisplayPort 1x HDMI 2.0b 1x Jack cắm tai nghe 3.5mm,DDR4 3200MHz,2 khe RAM nâng cấp tối đa 32GB,"48WHrs, 3-cell Li-ion",1920 x 1080 pixels (FullHD)
Laptop HP Pavilion 14-DV2073TU 7C0P2PA,13.490.000đKhi thu cũ lên đời,20.990.000đ,https://cellphones.com.vn/laptop-hp-pavilion-14-dv2073tu-7c0p2pa.html,Intel Iris Xe Graphics,16GB,512 GB PCIe NVMe M.2 SSD,14 inches,BrightView Độ sáng 250 nits  Độ phủ màu 45% NTSC,Windows 11 Home 64,"1x USB Type-C (Sạc, DisplayPort 1.4, HP ngủ và sạc) 2x USB Type-A 1x HDMI 2.1 1x Headphone/microphone combo",DDR4 3200MHz,2 x 8 GB,"3-cell, 43 Wh Li-ion",1920 x 1080 pixels (FullHD)
Laptop ASUS TUF Gaming A15 FA507NU-LP140W,18.490.000đKhi thu cũ lên đời,25.990.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa507nu-lp140w.html,,,,,,,,,,,
Laptop Lenovo LOQ 15IAX9 83GS000RVN,20.990.000đKhi thu cũ lên đời,25.990.000đ,https://cellphones.com.vn/laptop-lenovo-loq-15iax9-83gs000rvn.html,,,,,,,,,,,
Laptop ASUS VivoBook 14 OLED M1405YA-KM047W - Chỉ có tại CellphoneS,10.990.000đKhi thu cũ lên đời,17.990.000đ,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-m1405ya-km047w.html,,,,,,,,,,,
Laptop MSI Gaming GF63 12UC-887VN,15.990.000đKhi thu cũ lên đời,20.990.000đ,https://cellphones.com.vn/laptop-msi-gaming-gf63-12uc-887vn.html,Nvidia Geforce RTX 3050 4GB GDDR6,8GB,"512GB NVMe PCIe Gen 4x4 SSD (Còn trống 1 khe 2.5"" SATA)",15.6 inches,Độ phủ màu 45%NTSC,Windows 11,1x Type-C USB3.2 Gen1 (support DisplayPort)3x Type-A USB3.2 Gen1 1x (4K @ 30Hz) HDMI1x RJ451x Mic-in1x Headphone-out,8GB (8x1) DDR4 3200MHz ,"2x SO-DIMM, nâng cấp tối đa 64GB SDRAM",3 Cell 52.4 WHr,1080 x 1920 pixels (FullHD)
Laptop MSI Gaming GF63 12UCX-841VN,12.990.000đKhi thu cũ lên đời,17.990.000đ,https://cellphones.com.vn/laptop-msi-gaming-msi-gf63-12ucx-841vn.html,NVIDIA GeForce RTX 2050 4GB GDDR6,8GB,512GB SSD M.2 NVMe,15.6 inches,,Windows 11 Home,1x HDMI1x USB Type C / DisplayPort / Power Delivery3 x USB 3.2 1x Audio combo1x LAN 1 Gb/s,DDR4 3200MHz,1 khe trống ( nâng cấp tối đa 64GB),3 cell 52.4 Wh,1920 x 1080 pixels (FullHD)
Laptop ASUS VivoBook 14 X1404ZA-NK075W,5.990.000đKhi thu cũ lên đời,12.490.000đ,https://cellphones.com.vn/laptop-asus-vivobook-14-x1404za-nk075w.html,,,,,,,,,,,
Laptop Acer Aspire 3 A315-58-53S6 NX.AM0SV.005,7.790.000đKhi thu cũ lên đời,15.990.000đ,https://cellphones.com.vn/laptop-acer-aspire-3-a315-58-53s6.html,,,,,,,,,,,
MacBook Pro 16 inch M2 Pro 2023 (12 CPU - 19 GPU - 16GB - 512GB),46.990.000đKhi thu cũ lên đời,65.990.000đ,https://cellphones.com.vn/macbook-pro-16-inch-m2-pro-2023.html,19 nhân GPU,16GB,2TB SSD,16 inches,"120Hz, Liquid Retina, Mini LED, XDR",MacOS,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,,70WhSạc 96W,3456 x 2234 pixels 
Laptop ASUS Gaming ROG Zephyrus G14 GA402NJ-L4056W,27.490.000đKhi thu cũ lên đời,42.990.000đ,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g14-ga402nj-l4056w.html,NVIDIA GeForce RTX 3050 6GB GDDR6,16GB,512GB PCIe 4.0 NVMe M.2 SSD (1 khe SSD M.2 trống nâng cấp tối đa đến 1TB),14 inches,"Thời gian phản hồi 3ms Độ sáng 400nitsMàn hình chống chóiĐộ phù màu 72% NTSC, 100% SRGB, 75.35% Adobe  Adaptive-Sync",Windows 11 Home,1x Type-C USB 4 (DisplayPort / Sạc) 1x USB 3.2 Gen 2 Type-C (DisplayPort) 2x USB 3.2 Gen 2 Type-A 1x Đầu đọc thẻ (microSD) (UHS-II)1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack,DDR5,8GB DDR5 Onboard 8GB DDR5-4800 SO-DIMM (có thể tháo ra nâng cấp tối đa 24GB),"76WHrs, 4S1P, 4-cell Li-ion",1920 x 1200 pixels (WUXGA)
Laptop ASUS TUF Gaming A15 FA506NF-HN005W,13.490.000đKhi thu cũ lên đời,19.990.000đ,https://cellphones.com.vn/laptop-asus-tuf-gaming-a15-fa506nf-hn005w.html,NVIDIA® GeForce RTX™ 2050,8GB,512GB PCIe® 4.0 NVMe™ M.2 SSD,15.6 inches,"Tần số quét 144HzĐộ sáng 250nits  Độ phủ màu: NTSC 45%, SRGB 62.5%, Adobe 47.34%  Màn hình chống chói  Adaptive-Sync",Windows 11 Home,1x Cổng LAN RJ451x Cổng USB 3.2 Gen 2 Type-C hỗ trợ DisplayPort™3x Cổng USB 3.2 Gen 2 Type-A,8GB DDR5-4800MHz ,2 khe SO-DIMM (Nâng cấp tối đa 32GB),"48WHrs, 3S1P, 3-cell Li-ion",1920 x 1080 pixels (FullHD)
Laptop ASUS Zenbook 14 Oled UX3405MA-PP151W,23.990.000đKhi thu cũ lên đời,28.990.000đ,https://cellphones.com.vn/laptop-asus-zenbook-14-oled-ux3405ma-pp151w.html,,,,,,,,,,,
Laptop HP Victus 15-FA1155TX 952R1PA,14.990.000đKhi thu cũ lên đời,23.590.000đ,https://cellphones.com.vn/laptop-hp-victus-15-fa1155tx-952r1pa.html,Nvidia GeForce RTX 2050 4GB GDDR6,8GB,512GB SSD M.2 NVMe PCIe,15.6 inches,,,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo 9",4GB x 2 DDR4 3200,2,,1080 x 1920 pixels (FullHD)
Macbook Air 15 inch M2 2023 8GB 256GB sạc 70W | Chính hãng Apple Việt Nam,25.590.000đKhi thu cũ lên đời,32.990.000đ,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-sac-70w.html,10 nhân GPU,8GB,SSD 256GB,15.4 inches,Liquid Retina1 tỷ màuĐộ sáng 500 nits,MacOS,"Cổng MagSafe, 2 cổng USB-C Thunderbolt 4, jack tai nghe 3.5mm",,,,
Laptop ASUS VivoBook 14 OLED A1405VA-KM095W,14.590.000đKhi thu cũ lên đời,20.990.000đ,https://cellphones.com.vn/laptop-asus-vivobook-14-oled-a1405va-km095w.html,Intel Iris Xe Graphics,16GB,512GB M.2 NVM PCIe 3.0 SSD,14 inches,"Thời gian phản hồi 0,2ms Độ sáng tối đa 600nits HDR Độ phủ màu 100% DCI-P3",Windows 11 Home,1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x Jack cắm tai nghe,8GB DDR4 on board + 8GB DDR4 SO-DIMM,,"50WHrs, 3-cell Li-ion",2880 x 1800 pixels
Laptop Lenovo IdeaPad Slim 3 14IAH8 83EQ0005VN,10.890.000đKhi thu cũ lên đời,15.490.000đ,https://cellphones.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0005vn.html,Intel UHD Graphics,16GB,512GB SSD M.2 2242 PCIe 4.0x4 NVMe (có thể tháo ra nâng cấp tối đa 1TB M.2 2242 SSD),14 inches,Độ sáng 300nits  Màn hình chống chói,Windows 11 Home,"2x USB 3.2 Gen 1  1x USB-C 3.2 Gen 1 (Truyền dữ liệu , sạc, DisplayPort 1.2) 1x HDMI 1.4 1x Đầu đọc thẻ 1x Headphone / microphone combo jack (3.5mm) 1x Đầu nối nguồn",LPDDR5-4800 Onboard,,47Wh,1920 x 1080 pixels (FullHD)
Laptop HP Gaming Victus 15-FB1023AX 94F20PA,14.590.000đKhi thu cũ lên đời,24.490.000đ,https://cellphones.com.vn/laptop-hp-gaming-victus-15-fb1023ax-94f20pa.html,,,,,,,,,,,
